X,Y,COMMUNE,STATUT,DESIGNATIO,TOTAL
5.400681452644037,43.32289698575768,MARSEILLE,PRIVE,LACORDAIRE,669
5.413229650818968,43.331203545878523,MARSEILLE,PRIVE,SEVIGNE,763
5.419778613167367,43.337919655467083,MARSEILLE,PRIVE,ST FRANCOIS DE SALES,24
5.406423952865668,43.32021965626577,MARSEILLE,PRIVE,YAVNE,263
5.403920001694699,43.330125152878551,MARSEILLE,PUBLIC,AUGUSTE RENOIR,385
5.381819222640034,43.326368405540215,MARSEILLE,PUBLIC,CLAIR SOLEIL,404
5.382683608956837,43.321650329489323,MARSEILLE,PUBLIC,HENRI WALLON,517
5.387892634042053,43.319715449312213,MARSEILLE,PUBLIC,GIBRALTAR (TRAVERSE DE),379
5.390833654482185,43.337273998808712,MARSEILLE,PUBLIC,PYTHEAS,356
5.39517149991005,43.335707007163805,MARSEILLE,PUBLIC,EDOUARD MANET,418
5.383697592647549,43.346047078575758,MARSEILLE,PRIVE,TOUR SAINTE,354
5.391244395462474,43.344459783935193,MARSEILLE,PRIVE,HENRI MARGALHAN,360
5.37692039691414,43.343932317966726,MARSEILLE,PUBLIC,MASSENET,486
5.350051206378502,43.373896895500728,MARSEILLE,PUBLIC,ELSA TRIOLET,383
5.352712330109953,43.345077437713051,MARSEILLE,PUBLIC,JULES FERRY,457
5.354032485121997,43.36758962569521,MARSEILLE,PUBLIC,JEAN MOULIN,389
5.361774725088937,43.373729932668709,MARSEILLE,PUBLIC,VALLON DES PINS,544
5.36600924783478,43.322642080567874,MARSEILLE,PUBLIC,ROSA PARKS,370
5.343682662565516,43.346784033138896,MARSEILLE,PUBLIC,ARTHUR RIMBAUD,401
5.356361791280041,43.336985864472055,MARSEILLE,PRIVE,ST JOSEPH (VIALA),331
5.355399387291886,43.355699447725712,MARSEILLE,PRIVE,NOTRE DAME DE LA VISTE,338
5.339336260258583,43.366957386584048,MARSEILLE,PUBLIC,ST ANDRE-BARNIER,540
5.319331333268959,43.365215037322336,MARSEILLE,PUBLIC,L'ESTAQUE,596
5.442188723048266,43.344337995696712,MARSEILLE,PUBLIC,ANDRE MALRAUX,842
5.367653158731778,43.411151630202511,SEPTEMES-LES-VALLONS,PUBLIC,MARC FERRANDI,416
5.36471840195517,43.309402129277039,MARSEILLE,PUBLIC,JEAN CLAUDE IZZO,442
5.422883876245617,43.304669976923606,MARSEILLE,PUBLIC,CAMPAGNE ALLEMAN,819
5.383400880483888,43.321756859336119,MARSEILLE,PUBLIC,MARIE LAURENCIN,276
5.506240817708375,43.69811576780603,,PUBLIC,CLG MARCEL PAGNOL,555
5.495138120839374,43.702421486401072,,PUBLIC,CLG MARIE MAURON,548
5.578564766998955,43.287856367993413,AUBAGNE,PUBLIC,Joseph LAKANAL,708
5.543767797378747,43.282681583460992,AUBAGNE,PUBLIC,LOU GARLABAN,558
5.643324392490334,43.371925109509327,AURIOL,PUBLIC,UBELKA,790
5.595350633798437,43.348582274813118,ROQUEVAIRE,PUBLIC,Louis ARAGON,710
5.250089994619987,43.531698919480625,VELAUX,PUBLIC,ROQUEPERTUSE,720
5.15579720544599,43.632459723523439,PELISSANE,PUBLIC,ROGER CARCASSONE,600
